id,title,description,link,image_link,additional_image_link,price,availability,condition,brand,product_type,google_product_category,age_group,color,material,pattern,item_group_id
LPS-001,The Lavender Madras Shawl,"A beautifully soft Indian cotton muslin baby shawl in a rich, medium lavender-lilac color. It features a classic, traditional Madras woven plaid pattern accented with cream, deep purple, and soft grey. Handcrafted with our signature breathable weave, this shawl provides perfect temperature regulation for your little one.",https://swaddleshawls.com/shop,https://swaddleshawls.com/products/LPS-001_1.png,"https://swaddleshawls.com/products/LPS-001_2.png,https://swaddleshawls.com/products/LPS-001_3.png",32.00 USD,in stock,new,SwaddleShawls,Newborn Essentials > Swaddles,"Baby & Toddler > Baby Bathing > Baby Washcloths & Towels",Newborn,"Lavender, Cream, Deep Purple",100% Cotton Muslin,Classic Madras Plaid,swaddles
WNC-001,The Pure White Bindi Nursing Cover,"An elegant, completely opaque pure white cotton nursing cover designed for absolute privacy and comfort. Adorned with a delicate, traditional Indian bindi dot block-print pattern in bright red. The breathable yet thick muslin weave ensures your baby stays cool while providing full coverage for confident nursing anywhere.",https://swaddleshawls.com/shop,https://swaddleshawls.com/products/WNC-001_1.png,"https://swaddleshawls.com/products/WNC-001_2.png,https://swaddleshawls.com/products/WNC-001_3.png",35.00 USD,in stock,new,SwaddleShawls,Parenthood Essentials > Nursing Covers,"Baby & Toddler > Nursing & Feeding > Breastfeeding > Nursing Covers",Adult,"Opaque White, Red",100% Cotton Muslin,Traditional Bindi Dot Print,nursing-covers
BRH-001,The Agra Brick Rose Swaddle,"Inspired by the warm, sunlit clay walls of Agra heritage quarters. A rich brick red cotton muslin swaddle adorned with a simple, elegant gold rosebud block-print pattern. Each piece is handcrafted using traditional Indian block-printing techniques passed down through generations. Perfectly sized for swaddling, nursing, or as a stroller cover.",https://swaddleshawls.com/shop,https://swaddleshawls.com/products/BRH-001_1.png,"https://swaddleshawls.com/products/BRH-001_2.png,https://swaddleshawls.com/products/BRH-001_3.png",30.00 USD,in stock,new,SwaddleShawls,Newborn Essentials > Swaddles,"Baby & Toddler > Baby Bathing > Baby Washcloths & Towels",Newborn,"Brick Red, Gold",100% Cotton Muslin,Gold Rosebud Block Print,swaddles
DNQ3P5HA6,The Heritage Paisley Swaddle,"Our signature 100% cotton muslin swaddle featuring a hand-block inspired paisley print in Rich Madder Red and Saffron Teal. Breathable, pre-washed for extra softness, and large enough to grow with your baby.",https://swaddleshawls.com/shop,https://swaddleshawls.com/products/DNQ3P5HA6_1.webp,"https://swaddleshawls.com/products/DNQ3P5HA6_2.webp,https://swaddleshawls.com/products/DNQ3P5HA6_3.png",30.00 USD,in stock,new,SwaddleShawls,Newborn Essentials > Swaddles,"Baby & Toddler > Baby Bathing > Baby Washcloths & Towels",Newborn,"Rich Madder Red, Saffron Teal",100% Cotton Muslin,Paisley Block Print,swaddles
SC55JFH9Z,The Sunrise Heritage Swaddle,"A radiant take on traditional luxury. This 100% cotton swaddle features our signature paisley motif set against a vibrant Sunrise Orange palette, accented with Golden Turmeric and Madder Red. The fabric is framed by a clean, unbleached cotton border for a modern, balanced aesthetic.",https://swaddleshawls.com/shop,https://swaddleshawls.com/products/SC55JFH9Z_1.webp,"https://swaddleshawls.com/products/SC55JFH9Z_2.webp,https://swaddleshawls.com/products/SC55JFH9Z_3.png",30.00 USD,in stock,new,SwaddleShawls,Newborn Essentials > Swaddles,"Baby & Toddler > Baby Bathing > Baby Washcloths & Towels",Newborn,"Sunrise Orange, Golden Turmeric, Cream",100% Cotton Muslin,Framed Paisley Block Print,swaddles
RK4RWVUTL,The Simplicity Heritage Shawl,"Inspired by the simple, powerful elegance of traditional styles. A plain, unbleached cream cotton swaddle with a deeply saturated traditional blue border. Focusing on the quality of natural cotton fibers and minimal, ancestral design.",https://swaddleshawls.com/shop,https://swaddleshawls.com/products/RK4RWVUTL_1.webp,"https://swaddleshawls.com/products/RK4RWVUTL_2.webp,https://swaddleshawls.com/products/RK4RWVUTL_3.png",30.00 USD,in stock,new,SwaddleShawls,Newborn Essentials > Swaddles,"Baby & Toddler > Baby Bathing > Baby Washcloths & Towels",Newborn,"Natural Cream, Traditional Blue",100% Cotton Muslin,Solid with Contoured Border,swaddles
EPU39F8P3,The 'Ancients' Raw Brown Swaddle,"The most primitive and authentic expression of newborn care. This 100% raw brown cotton swaddle is unbleached and entirely plain, focusing on the inherent beauty and breathability of natural fibers. It offers a deeply textural, ancestral connection for your baby, free from modern dyes or complex prints.",https://swaddleshawls.com/shop,https://swaddleshawls.com/products/EPU39F8P3_1.webp,"https://swaddleshawls.com/products/EPU39F8P3_2.webp,https://swaddleshawls.com/products/EPU39F8P3_3.png",30.00 USD,in stock,new,SwaddleShawls,Newborn Essentials > Swaddles,"Baby & Toddler > Baby Bathing > Baby Washcloths & Towels",Newborn,Natural Raw Brown (Unbleached),100% Raw Brown Cotton,Solid / Plain (Natural Texture),swaddles
MMS-001,The Midnight Monsoon Swaddle,"A sophisticated, darker option perfect for evening and night routines. Inspired by the Indian monsoon rains. Deep indigo blue color driven by natural indigo dyes, paired with very delicate, subtle silver/white block-printed motifs that resemble intricate raindrops or night stars.",https://swaddleshawls.com/shop,https://swaddleshawls.com/products/MMS-001_1.png,"https://swaddleshawls.com/products/MMS-001_2.png,https://swaddleshawls.com/products/MMS-001_3.png",35.00 USD,in stock,new,SwaddleShawls,Newborn Essentials > Swaddles,"Baby & Toddler > Baby Bathing > Baby Washcloths & Towels",Newborn,"Deep Indigo Blue, Silver",Ultra-lightweight Organic Bamboo-Cotton Blend,Silver Raindrop / Star Block Print,swaddles
GLS-001,The Golden Lotus Shawl,"A bright, uplifting swaddle meant to symbolize purity, enlightenment, and warmth. Highly photogenic for first weeks photo shoots. A soft, warm saffron/turmeric golden yellow with elegant, intricate white lotus flower block-print patterns.",https://swaddleshawls.com/shop,https://swaddleshawls.com/products/GLS-001_1.png,"https://swaddleshawls.com/products/GLS-001_2.png,https://swaddleshawls.com/products/GLS-001_3.png",35.00 USD,in stock,new,SwaddleShawls,Newborn Essentials > Swaddles,"Baby & Toddler > Baby Bathing > Baby Washcloths & Towels",Newborn,"Saffron Golden Yellow, White",100% Cotton Muslin,White Lotus Block Print,swaddles
EFW-001,The Emerald Forest Winter Quilt (Reversible),"A reversible 4-layer quilt for cooler months. One side is a rich, deep emerald/forest green, and the reverse side is a gentle celadon or sage green. Quilted with subtle geometric lattice stitching. Breathable multi-layer weave maintains temperature comfort.",https://swaddleshawls.com/shop,https://swaddleshawls.com/products/EFW-001_1.png,"https://swaddleshawls.com/products/EFW-001_2.png,https://swaddleshawls.com/products/EFW-001_3.png",45.00 USD,in stock,new,SwaddleShawls,Newborn Essentials > Quilts,"Baby & Toddler > Baby Bathing > Baby Washcloths & Towels",Newborn,"Emerald Forest Green, Celadon",4-Layer Quilted Cotton Muslin,Solid Reversible with Quilted Lattice,quilts
